CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0048,0.9647721266176639
C0001,C0055,0.9668478142511668
C0001,C0072,0.9695262226511742
C0002,C0077,0.9579502980875815
C0002,C0010,0.9736328913467542
C0002,C0029,0.99974512639411
C0003,C0038,0.9048525280750008
C0003,C0160,0.9105142193604102
C0003,C0166,0.9119503204870606
C0004,C0175,0.9882273117204532
C0004,C0017,0.9905342436124039
C0004,C0075,0.992734056440877
C0005,C0007,0.9866014226650415
C0005,C0112,0.9961334592706172
C0005,C0185,0.9974522198413518
C0006,C0064,0.8991275884317672
C0006,C0168,0.9530950775029938
C0006,C0117,0.9959643619634818
C0007,C0005,0.9866014226650415
C0007,C0050,0.9866303905885182
C0007,C0120,0.9946163588989675
C0008,C0113,0.8660678981592065
C0008,C0065,0.8723086704562149
C0008,C0124,0.9219221140098036
C0009,C0058,0.9724329814787537
C0009,C0197,0.9862633862100093
C0009,C0083,0.9963661624596838
C0010,C0176,0.9220633235854865
C0010,C0002,0.9736328913467542
C0010,C0029,0.9755291554069578
C0011,C0081,0.8952213249108122
C0011,C0137,0.9278074276715227
C0011,C0064,0.9871546615568983
C0012,C0113,0.9541180415051982
C0012,C0181,0.9543929004444357
C0012,C0163,0.9559687107907435
C0013,C0053,0.9743856334834144
C0013,C0145,0.9879236814194646
C0013,C0099,0.9892046329718407
C0014,C0151,0.995469628687493
C0014,C0097,0.9992775098894887
C0014,C0060,0.9994514961260172
C0015,C0078,0.9942027573484167
C0015,C0063,0.9984093211422173
C0015,C0123,0.9989267772988145
C0016,C0056,0.8951302265350237
C0016,C0107,0.949876665375448
C0016,C0182,0.9572922286540457
C0017,C0075,0.9761074550257519
C0017,C0175,0.9818764678271243
C0017,C0004,0.9905342436124039
C0018,C0171,0.9361036872103804
C0018,C0169,0.9434482487658409
C0018,C0153,0.943969526419702
C0019,C0190,0.8833868151201983
C0019,C0174,0.892388119874348
C0019,C0116,0.9757817763894164
C0020,C0140,0.990450416647662
C0020,C0095,0.995222687615931
C0020,C0130,0.9985477717079153
